Level,Date and Time,Source,Event ID,Task Category
Information,14/01/2023 14:08:19,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,14/01/2023 14:08:19,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2023‎-‎01‎-‎14T14:08:18.500000000Z.
Information,10/01/2023 21:27:20,Microsoft-Windows-Ntfs,98,None,Volume ?? (\Device\HarddiskVolumeShadowCopy2) is healthy.  No action is needed.
Information,10/01/2023 21:27:19,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 7 to 9.

Reason InputAccelerometer 

BootId: 9"
Information,10/01/2023 21:27:16,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP
Information,10/01/2023 21:27:15,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Abdo\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.
Information,10/01/2023 21:27:15,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP
Information,10/01/2023 21:27:14,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.SkypeApp_15.92.3401.0_x86__kzf8qxf38zg5c\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,10/01/2023 21:27:13,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,10/01/2023 21:27:04,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 6 to 7.

Reason SessionUnlock 

BootId: 9"
Information,10/01/2023 21:27:01,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 2023-01 Cumulative Update for Windows 11 Version 22H2 for x64-based Systems (KB5022303)
Information,10/01/2023 21:27:01,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,10/01/2023 21:26:17,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,10/01/2023 21:26:04,e2fexpress,32,None,"The description for Event ID 32 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,10/01/2023 21:26:02,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎01‎-‎10T21:23:17.555535000Z
Wake Time: ‎2023‎-‎01‎-‎10T21:26:01.374493000Z

Wake Source: Device -USB Composite Device"
Warning,10/01/2023 21:26:01,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,10/01/2023 21:26:01,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 4 to 6.

Reason Unknown 

BootId: 9"
Information,10/01/2023 21:26:01,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 3 to 4.

Reason SxTransition 

BootId: 9"
Information,10/01/2023 21:26:01,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,10/01/2023 21:26:00,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,10/01/2023 21:26:00,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,10/01/2023 21:26:00,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 2248880, SuspendEnd: 2248963"
Information,10/01/2023 21:26:00,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 1, FullResume: 2444, AverageResume: 2444"
Information,10/01/2023 21:26:00,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎10T21:26:00.500000000Z from ‎2023‎-‎01‎-‎10T21:23:21.092599600Z.
Time Delta: 159407 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎01‎-‎10T21:26:00.500000000Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,10/01/2023 21:23:21,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,10/01/2023 21:23:19,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,10/01/2023 21:23:17,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 1 to 3.

Reason SxTransition 

BootId: 9"
Information,10/01/2023 21:23:17,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 0 to 1.

Reason SessionUnlock 

BootId: 9"
Information,10/01/2023 21:22:08,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,10/01/2023 21:20:04,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,10/01/2023 21:19:52,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKsl36d30580
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{503D5656-B583-47A8-9554-0DB35EEF0DEA}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,10/01/2023 21:19:44,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123)."
Information,10/01/2023 21:19:44,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,10/01/2023 21:18:27,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,10/01/2023 20:56:17,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.381.2027.0)
Information,10/01/2023 20:56:14,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.381.2027.0)
Information,10/01/2023 20:56:14,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,10/01/2023 20:54:28,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFC00000020000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:54:28,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,10/01/2023 20:52:04,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFC00000020000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:52:04,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001320000002). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:52:04,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001320000002). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:51:43,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,10/01/2023 20:51:05,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,10/01/2023 20:50:41,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001220000003). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:50:41,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,10/01/2023 20:48:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\System32\SMI\Store\Machine\schema.dat was cleared updating 14583 keys and creating 2440 modified pages.
Information,10/01/2023 20:48:44,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,10/01/2023 20:48:38,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001220000003). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:37,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001120000004). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:37,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001120000004). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:37,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001220000002). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:29,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001220000002). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:29,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001220000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:29,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001220000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:29,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFC00001020000002). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:21,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.381.2018.0)
Information,10/01/2023 20:48:21,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,10/01/2023 20:48:17,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.381.2018.0)
Information,10/01/2023 20:48:17,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,10/01/2023 20:48:17,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,10/01/2023 20:48:17,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFC00001020000002). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:17,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000820000002). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:17,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000820000002). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:17,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001120000003). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Warning,10/01/2023 20:48:14,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,10/01/2023 20:48:14,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,10/01/2023 20:48:14,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,10/01/2023 20:48:13,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001120000003). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:13,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001120000002). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:13,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001120000002). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:13,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000420000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:09,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000420000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:09,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000820000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:09,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000820000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:09,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001120000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:01,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001120000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:01,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:01,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:48:01,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000320000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Error,10/01/2023 20:47:55,Microsoft-Windows-DistributedCOM,10010,None,The server {8CFC164F-4BE5-4FDD-94E9-E2AF73ED4A19} did not register with DCOM within the required timeout.
Information,10/01/2023 20:47:37,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000320000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:47:37,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFC00001020000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:47:37,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFC00001020000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:47:37,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000120000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:47:16,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000120000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:47:16,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00001320000001). Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:47:16,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00001320000001). Status: 0x0. Process Id 0x2DC0 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Warning,10/01/2023 20:47:10,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 18 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,10/01/2023 20:47:10,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 17 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,10/01/2023 20:47:10,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 19 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,10/01/2023 20:47:10,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 16 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,10/01/2023 20:47:10,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,10/01/2023 20:46:21,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,10/01/2023 20:46:21,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,10/01/2023 20:46:19,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,10/01/2023 20:46:14,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,10/01/2023 20:46:14,Microsoft-Windows-TPM-WMI,1282,None,The TBS device identifier has been generated.
Information,10/01/2023 20:46:13,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,10/01/2023 20:46:13,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam
WinSetupMon"
Information,10/01/2023 20:46:09,Service Control Manager,7040,None,The start type of the BITS service was changed from demand start to auto start.
Information,10/01/2023 20:46:06,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:5357/2e3c5200-a8d4-4ef8-a115-8866ddb6e283/) to URL group (0xFE00001020000001). Status: 0x0. Process Id 0x18B8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:46:06,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Create URL group 0xFE00001020000001. Status 0x0. Process Id 0x18B8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,10/01/2023 20:46:05,Microsoft-Windows-WHEA-Logger,3,None,A hardware event has occurred. An informational record describing the condition is contained in the data section of this event.
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://127.0.0.1:27339:127.0.0.1/AuraSDK/) to URL group (0xFE00000020000001). Status: 0x0. Process Id 0x1C5C Executable path \Device\HarddiskVolume3\Program Files (x86)\ASUS\GameSDK Service\GameSDK.exe, User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Create URL group 0xFE00000020000001. Status 0x0. Process Id 0x1C5C Executable path \Device\HarddiskVolume3\Program Files (x86)\ASUS\GameSDK Service\GameSDK.exe, User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-WLAN-AutoConfig,10001,None,"WLAN Extensibility Module has successfully started.

Module Path: C:\WINDOWS\system32\IntelIHVRouter10.dll
"
Information,10/01/2023 20:46:05,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,10/01/2023 20:46:05,RST Middleware,27,None,"Found passthru disk: SCSI Port: 0, SCSI Bus: 2, SCSI Target: 0, PCIe SSD, 1000204886016 bytes, Sabrent Rocket Q4                       "
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:3387/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,10/01/2023 20:46:05,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
